41,85
41,86
41,84
42,84
42,92
42,88
41,85
41,79
40,78
41,84
41,279
41,265
41,255
41,252
40,251
41,251
41,248
40,227
40,229
40,21
41,15
40,10
40,19
40,48
40,19
40,20
39,18
39,11
41,53
39,54
39,41
40,31
39,32
40,54
41,48
41,53
39,43
39,32
38,32
38,31
39,31
39,32
38,31
38,31
39,8
39,9
39,10
41,8
39,7
39,11
39,33
41,30
40,31
39,31
41,55
39,54
39,47
40,46
40,48
40,6
40,29
40,279
39,93
40,84
39,89
41,85
41,88
41,76
40,75
40,73
39,78
40,70
40,71
41,71
40,71
41,72
41,72
40,14
40,77
40,76
41,77
40,76
40,77
39,75
39,76
40,77
40,77
39,78
39,79
40,85
40,11
39,11
40,21
39,85
41,85
40,80
39,79
39,80
39,78
40,80
39,81
40,79
40,78
39,80
39,80
40,80
39,80
40,80
39,79
39,79
39,80
39,79
40,80
40,81
39,81
38,81
39,81
38,79
39,79
39,80
39,79
40,80
39,81
37,82
38,81
38,86
40,86
38,86
38,86
38,86
38,91
38,112
38,28
39,103
38,30
40,22
39,105
40,134
39,84
38,114
38,150
38,119
38,121
39,127
37,100
39,185
39,113
39,128
38,100
39,112
39,97
39,61
39,57
38,44
39,42
39,61
39,42
38,33
40,31
40,28
42,25
41,24
42,22
43,22
42,23
43,29
43,193
41,93
42,99
40,316
40,266
41,244
40,228
39,225
40,228
40,230
40,230
40,231
39,231
